Index,L1,L2
8401,T cell,CD4 Memory
8402,T cell,CD4 Memory
8403,T cell,CD4 Naive
8404,T cell,CD4 Memory
8405,T cell,CD8 Naive
8406,T cell,CD8 Naive
8407,Mono/DC,CD16 Mono
8408,Mono/DC,CD14 Mono
8409,Mono/DC,CD14 Mono
8410,T cell,CD4 Naive
8411,Mono/DC,CD16 Mono
8412,Mono/DC,CD14 Mono
8413,T cell,CD4 Naive
8414,T cell,CD8 Effector_2
8415,Mono/DC,CD14 Mono
8416,T cell,CD8 Naive
8417,Mono/DC,CD14 Mono
8418,Mono/DC,CD14 Mono
8419,Mono/DC,CD14 Mono
8420,T cell,CD8 Memory_2
8421,Mono/DC,CD14 Mono
8422,Progenitor cells,GMP
8423,B cell,Naive B
8424,T cell,CD8 Naive
8425,T cell,CD8 Naive
8426,Mono/DC,CD16 Mono
8427,T cell,CD8 Naive
8428,B cell,Naive B
8429,T cell,CD4 Memory
8430,T cell,CD4 Naive
8431,T cell,CD4 Memory
8432,T cell,CD4 Memory
8433,B cell,Naive B
8434,T cell,CD4 Naive
8435,T cell,CD8 Naive
8436,T cell,CD4 Naive
8437,T cell,CD4 Memory
8438,T cell,CD8 Naive
8439,Mono/DC,CD14 Mono
8440,Mono/DC,CD14 Mono
8441,Mono/DC,CD14 Mono
8442,T cell,CD4 Naive
8443,Mono/DC,CD14 Mono
8444,Mono/DC,CD14 Mono
8445,Progenitor cells,LMPP
8446,T cell,CD8 Naive
8447,T cell,CD4 Naive
8448,Progenitor cells,Prog_Mk
8449,Progenitor cells,Prog_RBC
8450,T cell,CD8 Memory_2
8451,Mono/DC,CD14 Mono
8452,B cell,Memory B
8453,T cell,CD4 Memory
8454,Progenitor cells,GMP
8455,T cell,MAIT
8456,T cell,MAIT
8457,Mono/DC,CD14 Mono
8458,T cell,CD8 Naive
8459,NK,NK
8460,Mono/DC,CD14 Mono
8461,NK,NK
8462,T cell,CD4 Naive
8463,Progenitor cells,LMPP
8464,T cell,CD8 Naive
8465,Progenitor cells,HSC
8466,NK,NK
8467,Progenitor cells,LMPP
8468,Mono/DC,CD14 Mono
8469,T cell,CD4 Memory
8470,Progenitor cells,GMP
8471,T cell,CD4 Naive
8472,T cell,CD4 Memory
8473,Mono/DC,pDC
8474,T cell,CD8 Effector_1
8475,Mono/DC,CD14 Mono
8476,T cell,CD8 Memory_1
8477,T cell,CD8 Naive
8478,B cell,Memory B
8479,T cell,CD4 Naive
8480,T cell,CD8 Effector_1
8481,B cell,Naive B
8482,Mono/DC,CD14 Mono
8483,B cell,Naive B
8484,Mono/DC,CD14 Mono
8485,Mono/DC,CD14 Mono
8486,T cell,CD4 Naive
8487,Mono/DC,cDC2
8488,Mono/DC,cDC2
8489,B cell,Memory B
8490,Mono/DC,CD14 Mono
8491,T cell,CD8 Naive
8492,NK,NK
8493,B cell,Memory B
8494,Mono/DC,CD14 Mono
8495,T cell,CD8 Effector_1
8496,Progenitor cells,GMP
8497,T cell,CD4 Naive
8498,Progenitor cells,Prog_RBC
8499,B cell,Naive B
8500,Mono/DC,CD14 Mono
8501,NK,CD56 bright NK
8502,Progenitor cells,Prog_DC
8503,B cell,Naive B
8504,T cell,CD4 Naive
8505,NK,NK
8506,T cell,CD4 Memory
8507,T cell,CD8 Naive
8508,Progenitor cells,Prog_RBC
8509,T cell,CD8 Memory_2
8510,T cell,CD8 Naive
8511,Mono/DC,CD14 Mono
8512,Mono/DC,CD16 Mono
8513,T cell,CD8 Naive
8514,T cell,CD4 Naive
8515,T cell,CD8 Naive
8516,T cell,CD4 Naive
8517,T cell,CD8 Effector_1
8518,T cell,CD8 Memory_2
8519,Mono/DC,CD14 Mono
8520,B cell,Memory B
8521,T cell,CD8 Naive
8522,Mono/DC,CD14 Mono
8523,T cell,CD4 Naive
8524,Progenitor cells,Prog_RBC
8525,Mono/DC,CD14 Mono
8526,T cell,MAIT
8527,Mono/DC,CD14 Mono
8528,T cell,CD8 Naive
8529,T cell,CD4 Naive
8530,T cell,CD4 Naive
8531,Mono/DC,CD14 Mono
8532,T cell,CD8 Naive
8533,T cell,CD8 Naive
8534,Mono/DC,CD14 Mono
8535,Progenitor cells,LMPP
8536,Mono/DC,CD14 Mono
8537,Progenitor cells,LMPP
8538,Mono/DC,CD14 Mono
8539,T cell,CD4 Memory
8540,Mono/DC,CD14 Mono
8541,T cell,CD4 Naive
8542,T cell,CD4 Naive
8543,Progenitor cells,Prog_B 2
8544,Mono/DC,CD14 Mono
8545,Mono/DC,CD14 Mono
8546,T cell,CD4 Naive
8547,Mono/DC,cDC2
8548,T cell,CD8 Naive
8549,T cell,CD8 Effector_2
8550,B cell,Memory B
8551,Mono/DC,CD14 Mono
8552,T cell,CD4 Memory
8553,T cell,CD4 Naive
8554,T cell,CD8 Effector_2
8555,T cell,CD4 Naive
8556,T cell,CD4 Naive
8557,Progenitor cells,Prog_RBC
8558,T cell,CD4 Naive
8559,Mono/DC,CD14 Mono
8560,T cell,CD8 Memory_2
8561,T cell,CD4 Memory
8562,NK,NK
8563,T cell,CD8 Naive
8564,B cell,Memory B
8565,T cell,CD8 Naive
8566,Mono/DC,pDC
8567,T cell,CD8 Naive
8568,Mono/DC,CD14 Mono
8569,B cell,Memory B
8570,Progenitor cells,Prog_B 2
8571,B cell,Memory B
8572,Mono/DC,CD14 Mono
8573,Mono/DC,cDC2
8574,Mono/DC,CD14 Mono
8575,T cell,CD4 Memory
8576,T cell,CD8 Effector_1
8577,T cell,CD4 Naive
8578,B cell,Memory B
8579,B cell,Memory B
8580,B cell,Memory B
8581,Mono/DC,CD14 Mono
8582,Mono/DC,CD14 Mono
8583,B cell,Naive B
8584,Mono/DC,CD16 Mono
8585,T cell,MAIT
8586,Mono/DC,CD14 Mono
8587,T cell,CD8 Naive
8588,Mono/DC,CD14 Mono
8589,T cell,CD8 Naive
8590,T cell,CD4 Naive
8591,T cell,CD8 Naive
8592,T cell,CD8 Memory_2
8593,T cell,CD4 Memory
8594,Progenitor cells,HSC
8595,T cell,CD4 Naive
8596,T cell,CD4 Memory
8597,Progenitor cells,Prog_B 1
8598,T cell,CD4 Naive
8599,Mono/DC,CD14 Mono
8600,Mono/DC,CD14 Mono
8601,T cell,CD4 Memory
8602,Progenitor cells,Prog_Mk
8603,T cell,CD4 Naive
8604,T cell,CD4 Memory
8605,Progenitor cells,LMPP
8606,T cell,CD4 Naive
8607,B cell,Naive B
8608,B cell,Plasmablast
8609,Progenitor cells,Prog_RBC
8610,Mono/DC,CD14 Mono
8611,Mono/DC,CD14 Mono
8612,Mono/DC,CD14 Mono
8613,Progenitor cells,Prog_RBC
8614,T cell,CD4 Memory
8615,T cell,CD8 Memory_1
8616,Progenitor cells,Prog_RBC
8617,Progenitor cells,Prog_Mk
8618,Mono/DC,CD16 Mono
8619,T cell,CD4 Naive
8620,T cell,CD4 Naive
8621,T cell,CD4 Naive
8622,Mono/DC,cDC2
8623,Progenitor cells,GMP
8624,B cell,Naive B
8625,B cell,Naive B
8626,B cell,Memory B
8627,T cell,CD4 Naive
8628,Mono/DC,CD14 Mono
8629,T cell,CD4 Memory
8630,Progenitor cells,Prog_RBC
8631,T cell,CD8 Effector_1
8632,Mono/DC,CD14 Mono
8633,Progenitor cells,Prog_RBC
8634,T cell,CD4 Naive
8635,Progenitor cells,Prog_Mk
8636,Progenitor cells,GMP
8637,B cell,Naive B
8638,NK,NK
8639,T cell,CD4 Memory
8640,T cell,CD4 Memory
8641,Mono/DC,CD14 Mono
8642,Mono/DC,CD14 Mono
8643,T cell,CD4 Naive
8644,T cell,CD4 Memory
8645,T cell,CD4 Naive
8646,B cell,Plasmablast
8647,Progenitor cells,Prog_B 1
8648,T cell,CD8 Naive
8649,B cell,Memory B
8650,T cell,CD4 Naive
8651,B cell,Naive B
8652,T cell,CD4 Naive
8653,B cell,Memory B
8654,T cell,CD8 Naive
8655,T cell,CD8 Naive
8656,Mono/DC,CD14 Mono
8657,Mono/DC,CD14 Mono
8658,Progenitor cells,Prog_RBC
8659,B cell,Memory B
8660,T cell,CD4 Naive
8661,T cell,CD8 Naive
8662,T cell,CD8 Naive
8663,T cell,CD4 Memory
8664,B cell,Memory B
8665,Mono/DC,pDC
8666,T cell,CD4 Naive
8667,Mono/DC,CD14 Mono
8668,B cell,Memory B
8669,T cell,CD8 Naive
8670,Progenitor cells,GMP
8671,T cell,CD8 Naive
8672,B cell,Memory B
8673,T cell,CD4 Naive
8674,Progenitor cells,HSC
8675,B cell,Memory B
8676,NK,NK
8677,T cell,CD4 Memory
8678,Mono/DC,CD14 Mono
8679,Progenitor cells,LMPP
8680,NK,NK
8681,T cell,CD4 Naive
8682,T cell,CD4 Naive
8683,T cell,CD8 Naive
8684,NK,NK
8685,Progenitor cells,GMP
8686,Mono/DC,CD14 Mono
8687,T cell,CD8 Naive
8688,B cell,Naive B
8689,T cell,CD8 Naive
8690,NK,NK
8691,Progenitor cells,Prog_RBC
8692,Mono/DC,CD16 Mono
8693,B cell,Memory B
8694,T cell,CD4 Naive
8695,T cell,CD4 Naive
8696,T cell,CD4 Naive
8697,NK,NK
8698,T cell,CD4 Naive
8699,B cell,Memory B
8700,B cell,Plasmablast
8701,T cell,CD4 Memory
8702,T cell,CD4 Naive
8703,Mono/DC,CD14 Mono
8704,B cell,Memory B
8705,T cell,CD8 Naive
8706,Mono/DC,CD14 Mono
8707,Progenitor cells,GMP
8708,T cell,CD8 Naive
8709,Mono/DC,CD14 Mono
8710,Progenitor cells,Prog_B 1
8711,Progenitor cells,HSC
8712,Mono/DC,CD14 Mono
8713,T cell,CD4 Memory
8714,Mono/DC,CD14 Mono
8715,Mono/DC,pDC
8716,Mono/DC,CD14 Mono
8717,T cell,CD8 Naive
8718,Progenitor cells,LMPP
8719,Mono/DC,CD14 Mono
8720,T cell,CD4 Naive
8721,B cell,Naive B
8722,T cell,CD8 Naive
8723,Mono/DC,CD14 Mono
8724,T cell,CD8 Naive
8725,Progenitor cells,GMP
8726,T cell,CD4 Memory
8727,T cell,Treg
8728,NK,CD56 bright NK
8729,NK,CD56 bright NK
8730,T cell,CD8 Naive
8731,T cell,CD4 Memory
8732,T cell,CD8 Naive
8733,Progenitor cells,Prog_B 1
8734,Mono/DC,CD14 Mono
8735,T cell,CD4 Naive
8736,T cell,CD4 Naive
8737,T cell,CD4 Memory
8738,Mono/DC,CD14 Mono
8739,T cell,CD8 Effector_2
8740,T cell,CD4 Naive
8741,T cell,CD4 Naive
8742,B cell,Naive B
8743,T cell,CD4 Naive
8744,T cell,CD8 Naive
8745,Mono/DC,CD14 Mono
8746,T cell,CD4 Memory
8747,Mono/DC,CD14 Mono
8748,T cell,CD8 Naive
8749,T cell,CD8 Naive
8750,Mono/DC,CD14 Mono
8751,T cell,CD8 Naive
8752,Progenitor cells,Prog_RBC
8753,T cell,CD8 Naive
8754,NK,NK
8755,T cell,CD8 Naive
8756,Progenitor cells,GMP
8757,T cell,CD4 Naive
8758,T cell,CD4 Memory
8759,T cell,CD8 Effector_1
8760,B cell,Memory B
8761,T cell,CD4 Memory
8762,Progenitor cells,Prog_RBC
8763,T cell,CD4 Memory
8764,T cell,CD4 Naive
8765,T cell,MAIT
8766,Mono/DC,cDC2
8767,B cell,Memory B
8768,T cell,CD4 Memory
8769,Mono/DC,CD14 Mono
8770,T cell,CD8 Memory_1
8771,NK,NK
8772,T cell,CD4 Naive
8773,T cell,CD4 Memory
8774,T cell,CD4 Naive
8775,Mono/DC,CD14 Mono
8776,Mono/DC,CD14 Mono
8777,T cell,CD8 Naive
8778,Progenitor cells,HSC
8779,T cell,CD4 Naive
8780,B cell,Memory B
8781,T cell,CD4 Naive
8782,T cell,CD8 Naive
8783,T cell,CD8 Memory_2
8784,Mono/DC,CD14 Mono
8785,Progenitor cells,Prog_B 1
8786,T cell,CD4 Naive
8787,Mono/DC,CD14 Mono
8788,T cell,CD8 Naive
8789,T cell,CD4 Memory
8790,NK,NK
8791,T cell,Treg
8792,Mono/DC,CD14 Mono
8793,B cell,Memory B
8794,T cell,CD4 Naive
8795,B cell,Naive B
8796,Mono/DC,CD14 Mono
8797,Mono/DC,cDC2
8798,Mono/DC,CD14 Mono
8799,T cell,CD4 Memory
8800,B cell,Naive B
8801,T cell,CD4 Naive
8802,T cell,CD8 Naive
8803,T cell,CD8 Memory_2
8804,T cell,CD8 Naive
8805,T cell,CD4 Naive
8806,Mono/DC,CD14 Mono
8807,T cell,CD8 Naive
8808,T cell,CD4 Memory
8809,T cell,CD8 Naive
8810,T cell,CD4 Naive
8811,T cell,MAIT
8812,Mono/DC,pDC
8813,Mono/DC,cDC2
8814,T cell,gdT
8815,T cell,CD8 Naive
8816,Mono/DC,CD14 Mono
8817,T cell,CD8 Naive
8818,Mono/DC,CD14 Mono
8819,T cell,CD4 Memory
8820,T cell,Treg
8821,B cell,Naive B
8822,B cell,Memory B
8823,Mono/DC,CD14 Mono
8824,T cell,CD8 Effector_1
8825,T cell,CD8 Effector_2
8826,NK,NK
8827,T cell,CD4 Memory
8828,T cell,CD4 Naive
8829,T cell,CD4 Memory
8830,T cell,CD4 Naive
8831,Mono/DC,CD14 Mono
8832,NK,NK
8833,Mono/DC,CD14 Mono
8834,T cell,CD4 Naive
8835,T cell,CD8 Naive
8836,B cell,Memory B
8837,T cell,CD4 Naive
8838,T cell,CD8 Naive
8839,T cell,CD4 Naive
8840,T cell,CD4 Memory
8841,NK,NK
8842,Mono/DC,CD14 Mono
8843,T cell,gdT
8844,Progenitor cells,Prog_RBC
8845,Progenitor cells,Prog_RBC
8846,T cell,CD8 Naive
8847,B cell,Plasmablast
8848,B cell,Naive B
8849,T cell,CD8 Naive
8850,Mono/DC,CD14 Mono
8851,Progenitor cells,GMP
8852,B cell,Memory B
8853,Progenitor cells,Prog_RBC
8854,T cell,CD4 Naive
8855,T cell,CD4 Naive
8856,T cell,CD8 Naive
8857,Mono/DC,CD14 Mono
8858,Mono/DC,CD14 Mono
8859,T cell,CD8 Naive
8860,B cell,Memory B
8861,Mono/DC,CD14 Mono
8862,Mono/DC,CD14 Mono
8863,B cell,Memory B
8864,Progenitor cells,Prog_RBC
8865,B cell,Naive B
8866,B cell,Naive B
8867,Mono/DC,CD14 Mono
8868,T cell,MAIT
8869,Mono/DC,CD14 Mono
8870,Progenitor cells,Prog_RBC
8871,T cell,CD4 Naive
8872,T cell,CD4 Naive
8873,T cell,CD4 Memory
8874,T cell,CD8 Naive
8875,T cell,CD4 Naive
8876,T cell,CD8 Naive
8877,NK,NK
8878,Progenitor cells,Prog_RBC
8879,T cell,CD4 Memory
8880,B cell,Naive B
8881,T cell,MAIT
8882,T cell,CD4 Naive
8883,T cell,CD4 Naive
8884,Mono/DC,CD14 Mono
8885,T cell,CD4 Naive
8886,Progenitor cells,Prog_RBC
8887,Mono/DC,CD14 Mono
8888,Mono/DC,CD14 Mono
8889,B cell,Memory B
8890,B cell,Memory B
8891,Mono/DC,CD14 Mono
8892,T cell,CD4 Memory
8893,Mono/DC,CD14 Mono
8894,Mono/DC,CD14 Mono
8895,T cell,gdT
8896,NK,CD56 bright NK
8897,Mono/DC,CD14 Mono
8898,Progenitor cells,Prog_DC
8899,T cell,CD4 Memory
8900,Progenitor cells,Prog_RBC
8901,Mono/DC,CD14 Mono
8902,T cell,CD8 Naive
8903,T cell,CD4 Naive
8904,T cell,CD8 Effector_2
8905,T cell,MAIT
8906,T cell,CD4 Memory
8907,T cell,CD4 Memory
8908,T cell,CD4 Naive
8909,Mono/DC,CD14 Mono
8910,Mono/DC,cDC2
8911,Progenitor cells,LMPP
8912,B cell,Naive B
8913,B cell,Plasmablast
8914,T cell,CD8 Effector_1
8915,Mono/DC,CD16 Mono
8916,Progenitor cells,Prog_RBC
8917,T cell,CD4 Memory
8918,B cell,Memory B
8919,T cell,CD4 Naive
8920,Mono/DC,CD14 Mono
8921,Mono/DC,CD14 Mono
8922,NK,NK
8923,T cell,CD8 Naive
8924,Mono/DC,CD14 Mono
8925,B cell,Naive B
8926,T cell,CD4 Naive
8927,Progenitor cells,Prog_DC
8928,Progenitor cells,LMPP
8929,Mono/DC,CD14 Mono
8930,B cell,Naive B
8931,Progenitor cells,Prog_RBC
8932,T cell,CD8 Naive
8933,T cell,CD4 Memory
8934,Mono/DC,CD14 Mono
8935,Mono/DC,CD14 Mono
8936,T cell,MAIT
8937,T cell,CD8 Memory_2
8938,T cell,CD4 Naive
8939,Mono/DC,CD14 Mono
8940,Mono/DC,CD14 Mono
8941,T cell,CD8 Naive
8942,Mono/DC,CD14 Mono
8943,NK,NK
8944,Mono/DC,CD14 Mono
8945,Progenitor cells,Prog_RBC
8946,Mono/DC,CD14 Mono
8947,NK,CD56 bright NK
8948,Progenitor cells,Prog_DC
8949,Mono/DC,CD14 Mono
8950,T cell,CD4 Memory
8951,Mono/DC,CD14 Mono
8952,T cell,CD8 Naive
8953,T cell,CD4 Naive
8954,T cell,CD8 Naive
8955,T cell,CD4 Naive
8956,Mono/DC,CD14 Mono
8957,Progenitor cells,HSC
8958,T cell,CD8 Naive
8959,NK,NK
8960,T cell,CD8 Naive
8961,T cell,CD8 Naive
8962,Mono/DC,CD14 Mono
8963,T cell,MAIT
8964,Progenitor cells,GMP
8965,T cell,CD8 Effector_1
8966,B cell,Memory B
8967,Mono/DC,CD14 Mono
8968,Progenitor cells,HSC
8969,T cell,CD4 Naive
8970,T cell,CD4 Naive
8971,Mono/DC,CD14 Mono
8972,Mono/DC,CD14 Mono
8973,Mono/DC,CD14 Mono
8974,Mono/DC,CD14 Mono
8975,T cell,CD4 Naive
8976,T cell,CD8 Memory_1
8977,NK,NK
8978,Mono/DC,CD14 Mono
8979,T cell,CD8 Naive
8980,Progenitor cells,GMP
8981,Mono/DC,CD14 Mono
8982,T cell,CD8 Naive
8983,Mono/DC,CD16 Mono
8984,T cell,CD4 Memory
8985,B cell,Naive B
8986,T cell,CD8 Effector_2
8987,T cell,CD8 Memory_1
8988,NK,NK
8989,T cell,CD8 Naive
8990,T cell,CD8 Effector_2
8991,Mono/DC,CD14 Mono
8992,T cell,CD8 Naive
8993,Mono/DC,CD14 Mono
8994,T cell,gdT
8995,T cell,CD4 Memory
8996,B cell,Naive B
8997,T cell,CD8 Effector_2
8998,Progenitor cells,Prog_RBC
8999,T cell,CD4 Memory
9000,Mono/DC,CD14 Mono
9001,B cell,Memory B
9002,B cell,Memory B
9003,Progenitor cells,GMP
9004,B cell,Naive B
9005,T cell,CD4 Naive
9006,T cell,CD8 Memory_2
9007,T cell,MAIT
9008,Mono/DC,CD14 Mono
9009,B cell,Memory B
9010,T cell,CD8 Naive
9011,T cell,CD8 Naive
9012,Mono/DC,CD14 Mono
9013,Mono/DC,CD14 Mono
9014,T cell,CD4 Naive
9015,T cell,CD8 Naive
9016,T cell,CD8 Naive
9017,T cell,CD4 Naive
9018,T cell,CD4 Naive
9019,Progenitor cells,Prog_DC
9020,Mono/DC,CD14 Mono
9021,Mono/DC,CD14 Mono
9022,Progenitor cells,LMPP
9023,NK,NK
9024,T cell,CD8 Naive
9025,T cell,CD8 Effector_1
9026,Mono/DC,cDC2
9027,T cell,CD8 Naive
9028,Mono/DC,CD14 Mono
9029,T cell,CD4 Naive
9030,Mono/DC,CD14 Mono
9031,T cell,CD8 Naive
9032,B cell,Naive B
9033,NK,NK
9034,T cell,CD8 Naive
9035,Mono/DC,CD14 Mono
9036,T cell,CD8 Memory_1
9037,Mono/DC,CD14 Mono
9038,Mono/DC,CD14 Mono
9039,T cell,gdT
9040,NK,NK
9041,T cell,CD8 Naive
9042,T cell,CD4 Naive
9043,B cell,Memory B
9044,T cell,CD4 Memory
9045,Mono/DC,CD14 Mono
9046,T cell,CD8 Naive
9047,B cell,Naive B
9048,NK,NK
9049,T cell,CD8 Effector_1
9050,B cell,Memory B
9051,T cell,CD4 Memory
9052,Mono/DC,CD14 Mono
9053,Mono/DC,CD14 Mono
9054,Mono/DC,CD14 Mono
9055,Progenitor cells,Prog_RBC
9056,B cell,Naive B
9057,Mono/DC,CD14 Mono
9058,Mono/DC,CD14 Mono
9059,B cell,Naive B
9060,Mono/DC,CD14 Mono
9061,T cell,CD4 Memory
9062,T cell,CD8 Naive
9063,T cell,CD8 Naive
9064,Mono/DC,CD14 Mono
9065,Mono/DC,CD14 Mono
9066,T cell,CD8 Naive
9067,Mono/DC,CD14 Mono
9068,T cell,CD4 Naive
9069,NK,NK
9070,T cell,CD8 Naive
9071,T cell,Treg
9072,NK,NK
9073,Mono/DC,CD14 Mono
9074,T cell,CD4 Naive
9075,T cell,CD8 Naive
9076,T cell,CD4 Naive
9077,T cell,CD4 Memory
9078,B cell,Naive B
9079,B cell,Plasmablast
9080,T cell,CD4 Memory
9081,Mono/DC,pDC
9082,B cell,Naive B
9083,T cell,CD8 Naive
9084,Mono/DC,CD14 Mono
9085,Mono/DC,CD14 Mono
9086,Progenitor cells,LMPP
9087,Progenitor cells,GMP
9088,T cell,CD4 Naive
9089,B cell,Naive B
9090,NK,NK
9091,T cell,MAIT
9092,T cell,CD8 Naive
9093,Progenitor cells,Prog_RBC
9094,T cell,CD4 Naive
9095,Mono/DC,pDC
9096,B cell,Naive B
9097,Progenitor cells,HSC
9098,Mono/DC,CD14 Mono
9099,Mono/DC,CD14 Mono
9100,T cell,CD8 Naive
9101,Progenitor cells,LMPP
9102,Mono/DC,CD14 Mono
9103,T cell,CD8 Effector_2
9104,T cell,CD4 Naive
9105,Progenitor cells,GMP
9106,Mono/DC,CD14 Mono
9107,T cell,CD8 Naive
9108,Mono/DC,CD14 Mono
9109,T cell,CD8 Naive
9110,Mono/DC,CD14 Mono
9111,T cell,CD4 Naive
9112,T cell,CD4 Naive
9113,T cell,CD4 Memory
9114,Progenitor cells,Prog_B 1
9115,T cell,CD4 Memory
9116,T cell,CD4 Memory
9117,T cell,CD8 Naive
9118,Mono/DC,CD14 Mono
9119,T cell,CD4 Naive
9120,Mono/DC,cDC2
9121,T cell,CD8 Naive
9122,T cell,CD8 Naive
9123,T cell,gdT
9124,B cell,Plasmablast
9125,Mono/DC,CD14 Mono
9126,Mono/DC,CD14 Mono
9127,T cell,CD4 Naive
9128,B cell,Memory B
9129,Mono/DC,CD14 Mono
9130,T cell,CD4 Memory
9131,T cell,CD4 Memory
9132,T cell,CD8 Naive
9133,T cell,CD8 Effector_2
9134,T cell,CD4 Memory
9135,Mono/DC,CD14 Mono
9136,NK,NK
9137,T cell,CD8 Effector_2
9138,T cell,CD4 Naive
9139,Mono/DC,pDC
9140,T cell,CD4 Naive
9141,T cell,CD4 Naive
9142,T cell,CD8 Effector_1
9143,Mono/DC,CD14 Mono
9144,Mono/DC,CD14 Mono
9145,Mono/DC,CD14 Mono
9146,T cell,CD4 Memory
9147,Mono/DC,CD14 Mono
9148,T cell,CD8 Naive
9149,Mono/DC,CD14 Mono
9150,B cell,Memory B
9151,Mono/DC,CD14 Mono
9152,NK,NK
9153,Mono/DC,CD14 Mono
9154,Mono/DC,CD14 Mono
9155,Mono/DC,cDC2
9156,T cell,CD8 Naive
9157,T cell,CD4 Naive
9158,Mono/DC,CD14 Mono
9159,Mono/DC,CD14 Mono
9160,T cell,CD4 Naive
9161,Mono/DC,CD14 Mono
9162,Progenitor cells,GMP
9163,Progenitor cells,LMPP
9164,T cell,CD8 Naive
9165,T cell,CD4 Naive
9166,NK,NK
9167,Mono/DC,CD14 Mono
9168,T cell,CD8 Naive
9169,Mono/DC,cDC2
9170,T cell,CD4 Naive
9171,Mono/DC,CD14 Mono
9172,T cell,CD8 Naive
9173,T cell,CD8 Naive
9174,Progenitor cells,LMPP
9175,Mono/DC,cDC2
9176,Mono/DC,pDC
9177,T cell,CD8 Naive
9178,Mono/DC,CD14 Mono
9179,Mono/DC,pDC
9180,NK,NK
9181,Mono/DC,CD14 Mono
9182,B cell,Naive B
9183,Progenitor cells,Prog_RBC
9184,T cell,CD8 Memory_1
9185,T cell,CD8 Naive
9186,T cell,CD8 Naive
9187,T cell,CD4 Naive
9188,B cell,Memory B
9189,B cell,Naive B
9190,T cell,MAIT
9191,T cell,CD4 Naive
9192,T cell,CD4 Naive
9193,T cell,CD8 Naive
9194,Mono/DC,CD14 Mono
9195,Mono/DC,CD14 Mono
9196,Progenitor cells,Prog_DC
9197,T cell,CD4 Memory
9198,T cell,CD8 Naive
9199,T cell,CD8 Naive
9200,Mono/DC,CD14 Mono
9201,T cell,CD4 Memory
9202,Mono/DC,cDC2
9203,T cell,MAIT
9204,B cell,Naive B
9205,T cell,CD4 Naive
9206,T cell,CD4 Naive
9207,Progenitor cells,LMPP
9208,Progenitor cells,Prog_B 1
9209,T cell,CD4 Naive
9210,NK,NK
9211,NK,NK
9212,B cell,Naive B
9213,T cell,CD4 Naive
9214,B cell,Naive B
9215,T cell,CD8 Naive
9216,Mono/DC,pDC
9217,T cell,CD4 Naive
9218,T cell,CD8 Naive
9219,B cell,Memory B
9220,T cell,CD4 Memory
9221,T cell,CD4 Naive
9222,NK,NK
9223,Progenitor cells,GMP
9224,T cell,CD4 Memory
9225,T cell,CD4 Memory
9226,Mono/DC,CD14 Mono
9227,NK,NK
9228,Mono/DC,CD14 Mono
9229,NK,NK
9230,B cell,Memory B
9231,B cell,Memory B
9232,B cell,Naive B
9233,T cell,CD4 Naive
9234,T cell,CD8 Naive
9235,B cell,Memory B
9236,T cell,CD8 Naive
9237,Progenitor cells,Prog_RBC
9238,B cell,Memory B
9239,T cell,CD8 Naive
9240,Progenitor cells,GMP
9241,T cell,CD4 Naive
9242,NK,NK
9243,T cell,CD4 Memory
9244,Mono/DC,CD14 Mono
9245,Mono/DC,CD14 Mono
9246,T cell,MAIT
9247,Mono/DC,CD14 Mono
9248,Progenitor cells,Prog_RBC
9249,Mono/DC,CD14 Mono
9250,T cell,CD4 Naive
9251,Mono/DC,CD16 Mono
9252,T cell,CD8 Naive
9253,Mono/DC,CD14 Mono
9254,T cell,CD8 Naive
9255,T cell,CD4 Memory
9256,T cell,CD8 Naive
9257,B cell,Memory B
9258,T cell,CD4 Naive
9259,T cell,CD8 Naive
9260,T cell,CD8 Naive
9261,Mono/DC,CD14 Mono
9262,T cell,CD4 Naive
9263,T cell,CD4 Naive
9264,B cell,Naive B
9265,B cell,Naive B
9266,T cell,CD8 Memory_2
9267,T cell,CD8 Memory_1
9268,B cell,Naive B
9269,Mono/DC,CD14 Mono
9270,Mono/DC,CD14 Mono
9271,B cell,Plasmablast
9272,NK,NK
9273,T cell,gdT
9274,B cell,Naive B
9275,Mono/DC,CD14 Mono
9276,T cell,CD8 Naive
9277,T cell,CD8 Effector_1
9278,Mono/DC,cDC2
9279,Mono/DC,CD14 Mono
9280,T cell,CD4 Memory
9281,T cell,CD4 Memory
9282,B cell,Memory B
9283,B cell,Plasmablast
9284,T cell,CD4 Memory
9285,B cell,Memory B
9286,B cell,Plasmablast
9287,T cell,CD8 Naive
9288,Mono/DC,CD14 Mono
9289,T cell,CD8 Naive
9290,T cell,CD8 Naive
9291,Mono/DC,CD14 Mono
9292,B cell,Memory B
9293,T cell,CD8 Naive
9294,Mono/DC,CD14 Mono
9295,T cell,CD4 Memory
9296,T cell,CD4 Naive
9297,T cell,CD8 Effector_1
9298,B cell,Memory B
9299,T cell,CD4 Naive
9300,Mono/DC,CD14 Mono
9301,B cell,Naive B
9302,T cell,CD4 Naive
9303,Mono/DC,CD14 Mono
9304,T cell,CD4 Naive
9305,T cell,CD8 Memory_2
9306,Mono/DC,CD14 Mono
9307,Progenitor cells,GMP
9308,B cell,Memory B
9309,T cell,CD4 Naive
9310,T cell,CD4 Memory
9311,Mono/DC,CD14 Mono
9312,Mono/DC,CD16 Mono
9313,NK,CD56 bright NK
9314,B cell,Memory B
9315,Mono/DC,CD14 Mono
